,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,mana_cost,cmc,colors,type_line,oracle_text,produced_mana,must_keeps
0,0,0,77,"Shizo, Death's Storehouse",,0.0,[],Legendary Land,"{T}: Add {B}.
{B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",['B'],True
1,1,1,497,Diabolic Intent,{1}{B},2.0,['B'],Sorcery,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a card, put that card into your hand, then shuffle.",,False
2,2,2,533,Misinformation,{B},1.0,['B'],Instant,Put up to three target cards from an opponent's graveyard on top of their library in any order.,,False
3,3,3,610,Deadly Rollick,{3}{B},4.0,['B'],Instant,"If you control a commander, you may cast this spell without paying its mana cost.
Exile target creature.",,False
4,4,4,665,Bojuka Bog,,0.0,[],Land,"This land enters tapped.
When this land enters, exile target player's graveyard.
{T}: Add {B}.",['B'],True
5,5,5,903,Cabal Stronghold,,0.0,[],Land,"{T}: Add {C}.
{3}, {T}: Add {B} for each basic Swamp you control.","['B', 'C']",True
6,6,6,1204,Wreck Hunter,{B}{B},2.0,['B'],Creature — Human Artificer,"Flash
When this creature enters, choose target player. You create a tapped Powerstone token for each nonland card in that player's graveyard that was put there from the battlefield this turn. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",['C'],False
7,7,7,1618,Arcane Signet,{2},2.0,[],Artifact,{T}: Add one mana of any color in your commander's color identity.,"['B', 'G', 'R', 'U', 'W']",False
8,8,8,2055,Force of Despair,{1}{B}{B},3.0,['B'],Instant,"If it's not your turn, you may exile a black card from your hand rather than pay this spell's mana cost.
Destroy all creatures that entered this turn.",,False
9,9,9,2295,Vat of Rebirth,{B},1.0,['B'],Artifact,"Whenever another artifact or creature you control is put into a graveyard from the battlefield, put an oil counter on this artifact.
{2}{B}, {T}, Remove four oil counters from this artifact: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.",,False
10,10,10,2328,Psychic Paper,{2},2.0,[],Artifact — Equipment,"As this Equipment becomes attached to a creature, choose a creature card name and a creature type.
Equipped creature has ward {1}, it can't be blocked, and its name and creature type are the last chosen name and creature type.
Equip {2}",,False
11,11,11,2692,Bone Dancer,{1}{B}{B},3.0,['B'],Creature — Zombie,"Whenever this creature attacks and isn't blocked, you may put the top creature card of defending player's graveyard onto the battlefield under your control. If you do, this creature assigns no combat damage this turn.",,False
12,12,12,2789,Diabolic Tutor,{2}{B}{B},4.0,['B'],Sorcery,"Search your library for a card, put that card into your hand, then shuffle.",,False
13,13,13,3412,Malicious Affliction,{B}{B},2.0,['B'],Instant,"Morbid — When you cast this spell, if a creature died this turn, you may copy Malicious Affliction and may choose a new target for the copy.
Destroy target nonblack creature.",,False
14,14,14,3554,Lobelia Sackville-Baggins,{2}{B},3.0,['B'],Legendary Creature — Halfling Citizen,"Flash
Menace
When Lobelia enters, exile target creature card from an opponent's graveyard that was put there from the battlefield this turn, then create X Treasure tokens, where X is the exiled card's power.",,False
15,15,15,4179,"King Macar, the Gold-Cursed",{2}{B}{B},4.0,['B'],Legendary Creature — Human Noble,"Inspired — Whenever King Macar becomes untapped, you may exile target creature. If you do, create a Gold token. (It's an artifact with ""Sacrifice this token: Add one mana of any color."")","['B', 'G', 'R', 'U', 'W']",False
16,16,16,5223,Dino DNA,{1},1.0,[],Artifact,"Imprint — {1}, {T}: Exile target creature card from a graveyard. Activate only as a sorcery.
{6}: Create a token that's a copy of target creature card exiled with this artifact, except it's a 6/6 green Dinosaur creature with trample. Activate only as a sorcery.",,False
17,17,17,5570,Entomb,{B},1.0,['B'],Instant,"Search your library for a card, put that card into your graveyard, then shuffle.",,False
18,18,18,5689,Come Back Wrong,{2}{B},3.0,['B'],Sorcery,"Destroy target creature. If a creature card is put into a graveyard this way, return it to the battlefield under your control. Sacrifice it at the beginning of your next end step.",,False
19,19,19,6388,Tarrian's Soulcleaver,{1},1.0,[],Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,False
20,20,20,6502,Mausoleum Secrets,{1}{B},2.0,['B'],Instant,"Undergrowth — Search your library for a black card with mana value less than or equal to the number of creature cards in your graveyard, reveal it, put it into your hand, then shuffle.",,False
21,21,21,6524,Imp's Mischief,{1}{B},2.0,['B'],Instant,Change the target of target spell with a single target. You lose life equal to that spell's mana value.,,False
22,22,22,7483,Not Dead After All,{B},1.0,['B'],Instant,"Until end of turn, target creature you control gains ""When this creature dies, return it to the battlefield tapped under its owner's control, then create a Wicked Role token attached to it."" (Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",,False
23,23,23,7569,Maze of Ith,,0.0,[],Land,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.,,True
24,24,24,7852,Dauthi Trapper,{2}{B},3.0,['B'],Creature — Dauthi Minion,{T}: Target creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.),,False
25,25,25,8080,Treasure Vault,,0.0,[],Artifact Land,"{T}: Add {C}.
{X}{X}, {T}, Sacrifice this land: Create X Treasure tokens.",['C'],True
26,26,26,8134,Dream-Thief's Bandana,{2},2.0,[],Artifact — Equipment,"Whenever equipped creature deals combat damage to a player, look at the top card of their library, then exile it face down. For as long as it remains exiled, you may play it, and mana of any type can be spent to cast that spell.
Equip {1}",,False
27,27,27,8566,"Gollum, Scheming Guide",{1}{B},2.0,['B'],Legendary Creature — Halfling Horror,"Whenever Gollum attacks, look at the top two cards of your library, put them back in any order, then choose land or nonland. An opponent guesses whether the top card of your library is the chosen kind. Reveal that card. If they guessed right, remove Gollum from combat. Otherwise, you draw a card and Gollum can't be blocked this turn.",,False
